Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
SLX-16086.D701rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	50.72	324718.0	2217.0	1.24	1.59	32.7	48.1	0.01	1.63	49.0	79.0	0.0	320397.0	6978470.0	94074.0	0	0.0	13759054.0	53656	0.01	0.39	15.51	2134024.0	2025.0	4498830	0.68
SLX-16086.D701rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	34.77	45615.0	271.0	1.27	1.44	52.99	47.87	0.01	0.89	49.0	4.0	0.0	44569.0	2727491.0	127061.0	0	0.0	7843795.0	83151	0.0	1.06	9.55	749323.0	771.0	4156769	1.62
SLX-16086.D701rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	54.38	637259.0	3351.0	1.12	1.42	27.66	48.16	0.01	1.27	49.0	323.0	0.0	630207.0	12437268.0	161360.0	0	0.0	22870324.0	107496	0.01	0.47	16.78	3837964.0	3378.0	6326236	0.71
SLX-16086.D702rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	44.66	306022.0	1871.0	1.17	1.66	32.25	47.68	0.02	1.71	49.0	127.0	0.0	300204.0	12151817.0	413026.0	0	0.0	27211807.0	100675	0.01	0.37	21.21	5771206.0	3820.0	8775083	1.52
SLX-16086.D702rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	57.99	649930.0	3984.0	1.2	1.72	24.3	48.14	0.01	1.26	49.0	341.0	0.0	641476.0	13123391.0	294620.0	0	0.0	22628933.0	79198	0.01	0.35	16.06	3633131.0	4129.0	5498593	1.3
SLX-16086.D702rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	62.51	822820.0	4798.0	1.09	1.26	22.4	48.47	0.01	0.91	49.0	390.0	0.0	813222.0	20576426.0	332634.0	0	0.0	32918616.0	404781	0.01	1.23	12.86	4233156.0	4410.0	7371619	1.01
SLX-16086.D703rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	50.49	425151.0	2465.0	1.17	1.82	30.07	47.71	0.01	1.51	49.0	230.0	0.0	418886.0	10181748.0	272420.0	0	0.0	20163885.0	62499	0.01	0.31	17.78	3584842.0	3570.0	6062376	1.35
SLX-16086.D703rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	57.82	431478.0	2764.0	1.14	1.48	24.2	48.27	0.01	1.01	49.0	260.0	0.0	425421.0	10922877.0	230712.0	0	0.0	18891176.0	145496	0.01	0.77	15.98	3019360.0	3033.0	4572731	1.22
SLX-16086.D703rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	53.44	455197.0	2406.0	1.13	1.5	26.65	48.18	0.01	1.21	49.0	250.0	0.0	449946.0	8684212.0	135886.0	0	0.0	16251700.0	74756	0.01	0.46	18.62	3025847.0	2595.0	4330999	0.84
SLX-16086.D704rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	49.04	307524.0	1740.0	1.17	1.92	30.42	47.48	0.02	1.62	49.0	122.0	0.0	302418.0	8725689.0	280166.0	0	0.0	17791854.0	51609	0.01	0.29	18.66	3320789.0	3244.0	5413601	1.57
SLX-16086.D704rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	57.06	641088.0	3682.0	1.11	1.39	28.64	48.33	0.01	1.2	49.0	399.0	0.0	633752.0	12265165.0	174886.0	0	0.0	21496797.0	120400	0.01	0.56	12.93	2778730.0	3255.0	6157616	0.81
SLX-16086.D704rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	50.75	420622.0	2182.0	1.14	1.62	28.54	48.13	0.01	1.35	49.0	170.0	0.0	416168.0	7114371.0	137931.0	0	0.0	14017699.0	61673	0.01	0.44	19.29	2703401.0	2102.0	4000323	0.98
SLX-16086.D705rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	49.14	301876.0	1833.0	1.27	2.41	27.32	47.18	0.02	1.7	48.0	130.0	0.0	295618.0	9345968.0	429597.0	0	0.0	19017382.0	53259	0.01	0.28	20.99	3991988.0	4295.0	5196570	2.26
SLX-16086.D705rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	47.06	505936.0	2849.0	1.12	1.45	35.19	48.2	0.01	1.62	49.0	351.0	0.0	499804.0	10922450.0	179684.0	0	0.0	23207591.0	104431	0.01	0.45	16.52	3834546.0	2932.0	8166480	0.77
SLX-16086.D705rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	58.94	556705.0	3259.0	1.11	1.42	24.33	48.35	0.01	1.05	49.0	351.0	0.0	549758.0	12448137.0	194211.0	0	0.0	21119703.0	160534	0.01	0.76	15.05	3177621.0	3337.0	5139200	0.92
SLX-16086.D706rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	53.83	9358.0	100.0	1.16	1.41	17.4	46.94	0.0	1.18	48.0	1.0	0.0	9144.0	220586.0	7670.0	0	0.0	409771.0	7580	0.01	1.85	25.05	102645.0	113.0	71290	1.87
SLX-16086.D706rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	53.92	799753.0	4667.0	1.13	1.51	27.77	48.12	0.01	1.25	49.0	557.0	0.0	790396.0	14144955.0	224876.0	0	0.0	26233744.0	110179	0.01	0.42	17.03	4468775.0	4133.0	7284959	0.86
SLX-16086.D706rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38	57.45	539210.0	3089.0	1.13	1.53	23.85	48.33	0.01	1.05	49.0	295.0	0.0	532476.0	11408045.0	204616.0	0	0.0	19858004.0	133046	0.01	0.67	17.0	3376261.0	3350.0	4736036	1.03
